key,en,de,es,fr,ka,ru
activity.all,All,Alle,Todo,Tout,ყველა,Все
activity.expense,Expense,Ausgabe,Gasto,Dépense,ხარჯი,Расход
activity.group_by_date,Date,Datum,Fecha,Date,თარიღი,Дата
activity.group_by_type,Type,Typ,Tipo,Type,ტიპი,Тип
activity.income,Income,Einnahme,Ingreso,Revenu,შემოსავალი,Доход
activity.items,{count} items,{count} Einträge,{count} registros,{count} entrées,{count} ჩანაწერი,{count} записей
activity.no_activity,No activity yet,Noch keine Aktivität,Aún no hay actividad,Pas encore d'activité,აქტივობა ჯერ არ არის,Активности пока нет
activity.start_tracking,Start Tracking,Tracking starten,Empezar a registrar,Commencer le suivi,დაიწყეთ აღრიცხვა,Начать учёт
activity.title,Activity,Aktivität,Actividad,Activité,აქტივობა,Активность
activity_screen.could_not_load,Could not load activity,Aktivität konnte nicht geladen werden,No se pudo cargar la actividad,Impossible de charger l'activité,აქტივობის ჩატვირთვა ვერ მოხერხდა,Не удалось загрузить активность
activity_screen.could_not_restore_expense,Could not restore expense,Ausgabe konnte nicht wiederhergestellt werden,No se pudo restaurar el gasto,Impossible de restaurer la dépense,ხარჯის აღდგენა ვერ მოხდა,Не удалось восстановить расход
activity_screen.could_not_restore_group,Could not restore group,Gruppe konnte nicht wiederhergestellt werden,No se pudo restaurar el grupo,Impossible de restaurer le groupe,ჯგუფის აღდგენა ვერ მოხდა,Не удалось восстановить группу
activity_screen.could_not_restore_wallet,Could not restore wallet entry,Geldbörsen-Eintrag konnte nicht wiederhergestellt werden,No se pudo restaurar la entrada del monedero,Impossible de restaurer l'entrée du portefeuille,საფულის ჩანაწერის აღდგენა ვერ მოხდა,Не удалось восстановить запись кошелька
activity_screen.delete_entry_title,Delete entry?,Eintrag löschen?,¿Eliminar entrada?,Supprimer l'entrée ?,ჩანაწერის წაშლა?,Удалить запись?
activity_screen.delete_expense_title,Delete expense?,Ausgabe löschen?,¿Eliminar gasto?,Supprimer la dépense ?,ხარჯის წაშლა?,Удалить расход?
activity_screen.delete_items_one,Delete 1 item?,1 Element löschen?,¿Eliminar 1 elemento?,Supprimer 1 élément ?,1 ელემენტის წაშლა?,Удалить 1 элемент?
activity_screen.delete_items_other,Delete {count} items?,{count} Elemente löschen?,¿Eliminar {count} elementos?,Supprimer {count} éléments ?,{count} ელემენტის წაშლა?,Удалить {count} элементов?
activity_screen.filter_groups,Groups,Gruppen,Grupos,Groupes,ჯგუფები,Группы
activity_screen.filter_income,Income,Einnahmen,Ingresos,Revenus,შემოსავალი,Доходы
activity_screen.filter_wallet,Wallet,Geldbörse,Cartera,Portefeuille,საფულე,Кошелёк
activity_screen.restore_expense_only,This expense only,Nur diese Ausgabe,Solo este gasto,Cette dépense uniquement,მხოლოდ ეს ხარჯი,Только этот расход
activity_screen.restore_options,Restore options,Wiederherstellungsoptionen,Opciones de restauración,Options de restauration,აღდგენის პარამეტრები,Варианты восстановления
activity_screen.restore_whole_group,Whole group + all expenses,Ganze Gruppe + alle Ausgaben,Grupo completo + todos los gastos,Groupe entier + toutes les dépenses,მთელი ჯგუფი + ყველა ხარჯი,Вся группа + все расходы
activity_screen.search_hint,"Search expenses, groups, people…","Ausgaben, Gruppen, Personen suchen…","Buscar gastos, grupos, personas…","Rechercher dépenses, groupes, personnes…","ხარჯების, ჯგუფების, ადამიანების ძიება…","Поиск расходов, групп, людей…"
activity_screen.section_earlier,Earlier,Früher,Antes,Plus tôt,ადრე,Ранее
activity_screen.section_this_week,This Week,Diese Woche,Esta semana,Cette semaine,ამ კვირაში,На этой неделе
activity_screen.section_today,Today,Heute,Hoy,Aujourd'hui,დღეს,Сегодня
activity_screen.section_yesterday,Yesterday,Gestern,Ayer,Hier,გუშინ,Вчера
activity_screen.type_edits_deletes,Edits & Deletes,Bearbeitungen & Löschungen,Ediciones y eliminaciones,Modifications et suppressions,რედაქტირება და წაშლა,Изменения и удаления
activity_screen.type_group_events,Group Events,Gruppenereignisse,Eventos del grupo,Événements du groupe,ჯგუფის მოვლენები,События группы
activity_screen.type_group_expenses,Group Expenses,Gruppenausgaben,Gastos del grupo,Dépenses du groupe,ჯგუფის ხარჯები,Расходы группы
activity_screen.type_income,Income,Einnahmen,Ingresos,Revenus,შემოსავალი,Доходы
activity_screen.type_other,Other,Sonstiges,Otros,Autres,სხვა,Прочее
activity_screen.type_settlements,Settlements,Abrechnungen,Liquidaciones,Règlements,ანგარიშსწორება,Расчёты
activity_screen.type_wallet,Wallet,Geldbörse,Cartera,Portefeuille,საფულე,Кошелёк
activity_screen.view_details,View details,Details anzeigen,Ver detalles,Voir les détails,დეტალების ნახვა,Подробнее
add_expense.amount_currency,Amount & currency,Betrag & Währung,Importe y moneda,Montant et devise,თანხა და ვალუტა,Сумма и валюта
add_expense.amount_label,Amount,Betrag,Importe,Montant,თანხა,Сумма
add_expense.amount_unusually_large,"Amount exceeds $10,000,000 — is this correct?",Betrag übersteigt $10.000.000 — ist das korrekt?,"El monto supera $10,000,000 — ¿es correcto?",Le montant dépasse $10 000 000 — est-ce correct?,"თანხა აღემატება $10,000,000 — დარწმუნებული ხართ?","Сумма превышает $10,000,000 — вы уверены?"
add_expense.amounts_must_sum,Amounts must sum to {amount} (got {total}),Beträge müssen {amount} ergeben (erhalten: {total}),Los importes deben sumar {amount} (obtenido: {total}),Les montants doivent totaliser {amount} (obtenu : {total}),ჯამი უნდა იყოს {amount} (მიღებული: {total}),Сумма должна быть {amount} (получено: {total})
