i18n_key,screen,en,ru,de,es,fr,ka,status
nav.dashboard,nav,Dashboard,Главная,Dashboard,Panel,Tableau de bord,მთავარი,exists
nav.wallet,nav,Wallet,Кошелёк,Geldbörse,Cartera,Portefeuille,საფულე,exists
nav.groups,nav,Groups,Группы,Gruppen,Grupos,Groupes,ჯგუფები,exists
nav.activity,nav,Activity,Активность,Aktivität,Actividad,Activité,აქტივობა,exists
nav.analytics,nav,Analytics,Аналитика,Analyse,Análisis,Analyses,ანალიტიკა,exists
nav.settings,nav,Settings,Настройки,Einstellungen,Ajustes,Paramètres,პარამეტრები,exists
dashboard.title,dashboard,Dashboard,Главная,Dashboard,Panel,Tableau de bord,მთავარი,exists
dashboard.net_worth,dashboard,Net Worth,Чистый капитал,Nettovermögen,Patrimonio neto,Patrimoine net,წმინდა ღირებულება,exists
dashboard.wallet_cash,dashboard,Wallet Cash,Кошелёк,Bargeld,Efectivo,Trésorerie,საფულის ნაშთი,exists
dashboard.you_are_owed,dashboard,Owed to you,Вам должны,Dir wird geschuldet,Te deben,On vous doit,გეკუთვნით,exists
dashboard.you_owe,dashboard,You owe,Вы должны,Du schuldest,Debes,Vous devez,თქვენ გეკუთვნის,exists
dashboard.overall_owed,dashboard,Overall you are owed,Всего вам должны,Gesamt dir geschuldet,Total que te deben,Total dû à vous,სულ გეკუთვნით,exists
dashboard.overall_balanced,dashboard,All settled up,Все расчёты выполнены,Alles beglichen,Todo saldado,Tout est soldé,ყველაფერი ანაზღაურებულია,exists
dashboard.recent_activity,dashboard,Recent activity,Последние операции,Letzte Aktivität,Actividad reciente,Activité récente,ბოლო ოპერაციები,exists
dashboard.no_expenses,dashboard,No expenses yet,Расходов ещё нет,Noch keine Ausgaben,Aún no hay gastos,Pas encore de dépenses,ხარჯები ჯერ არ არის,exists
dashboard.start_tracking,dashboard,Start Tracking,Начать учёт,Tracking starten,Empezar a registrar,Commencer le suivi,დაიწყეთ აღრიცხვა,exists
dashboard.items,dashboard,"{count} items","{count} записей","{count} Einträge","{count} registros","{count} entrées","{count} ჩანაწერი",exists
wallet.title,wallet,Wallet,Кошелёк,Geldbörse,Cartera,Portefeuille,საფულე,exists
wallet.income,wallet,Income,Доходы,Einnahmen,Ingresos,Revenus,შემოსავალი,exists
wallet.expenses,wallet,Expenses,Расходы,Ausgaben,Gastos,Dépenses,ხარჯები,exists
wallet.net,wallet,Net,Итого,Netto,Neto,Net,სულ,exists
wallet.no_entries,wallet,No wallet entries yet,Записей в кошельке нет,Keine Einträge in der Geldbörse,Sin entradas en la cartera,Aucune entrée dans le portefeuille,საფულეში ჩანაწერი არ არის,exists
wallet.start_tracking,wallet,Start Tracking,Начать учёт,Tracking starten,Empezar a registrar,Commencer le suivi,დაიწყეთ აღრიცხვა,exists
groups.title,groups,Groups,Группы,Gruppen,Grupos,Groupes,ჯგუფები,exists
groups.your_groups,groups,Your groups,Ваши группы,Deine Gruppen,Tus grupos,Vos groupes,თქვენი ჯგუფები,exists
groups.no_groups,groups,No groups yet,Групп ещё нет,Noch keine Gruppen,Aún no hay grupos,Pas encore de groupes,ჯგუფები ჯერ არ არის,exists
