page,english_text,de,ru,ka,fr,es
index,50+,,,,,
index,Accounted For.,,,,,
index,"Add an expense from any device. Choose who paid, who owes, in which currency. SetAll converts and records in real time.",,,,,
index,An AI-powered canvas that turns your expense data into visual patterns. Understand spending before it becomes a problem.,,,,,
index,Android,,,,,
index,Available everywhere.,,,,,
index,Built for people who,,,,,
index,Built for the modern world.,,,,,
index,Contact,,,,,
index,Create a group,,,,,
index,Currencies,,,,,
index,Download,,,,,
index,Download App,,,,,
index,Download the App,,,,,
index,"End-to-end auth, row-level security on every data row. Your financial history is yours — not ours to monetise.",,,,,
index,"Equal, percentage, itemised — pick how you split. SetAll remembers preferences so repeat groups work on autopilot.",,,,,
index,Every Platform,,,,,
index,Every Rupee. Every Dirham.,,,,,
index,"Every tap syncs instantly across every device in your group. The moment an expense lands, everyone sees it.",,,,,
index,First,,,,,
index,Get Started,,,,,
index,GitHub,,,,,
index,Help & Support,,,,,
index,How it works,,,,,
index,Insights Hub,,,,,
index,Local,,,,,
index,Log expenses as they happen,,,,,
index,Money,,,,,
index,"Multi-Currency, Natively",,,,,
index,"Name it ""Bali Trip"", ""Flat Bills"" or anything else. Invite members by email or link — they're in in seconds.",,,,,
index,"Native apps for iOS, Android, macOS, and Windows — plus a full-featured web portal. Your ledger, wherever you are.",,,,,
index,Open Portal,,,,,
index,"Pay in AED, split in USD, settle in EUR — live exchange rates do the maths so you never argue about conversions again.",,,,,
index,Platforms,,,,,
index,Privacy Policy,,,,,
index,Public Beta,,,,,
index,Public Beta · v1.4.0 · Greedy Flow Engine,,,,,
index,Real-Time Ledger,,,,,
index,Real-time,,,,,
index,Scroll,,,,,
index,Secure by Design,,,,,
index,SetAll,,,,,
index,"SetAll Fintech Systems | 56 Tbilisi-Kojori st, Tbilisi, Georgia",,,,,
index,SetAll is in public beta — features may change.,,,,,
index,"SetAll — Split Bills, Track Spending & Settle Debts in Any Currency",,,,,
index,Settle with one tap,,,,,
index,Share feedback →,,,,,
index,Sign In,,,,,
index,Smart Group Splits,,,,,
index,Stall Your Life,,,,,
index,Stop Letting,,,,,
index,Sync,,,,,
index,Terms of Service,,,,,
index,The Greedy Flow,,,,,
index,"The Greedy Flow engine collapses all debts into the fewest possible payments. Mark settled, done.",,,,,
index,Three steps to zero debt,,,,,
index,Web App,,,,,
index,Why SetAll,,,,,
index,Windows,,,,,
index,iOS & macOS,,,,,
index,"iOS, Android, macOS, Windows, Web — your ledger travels with you. Native performance on every OS.",,,,,
index,move,,,,,
index,try{if(localStorage.getItem('beta_dismissed')==='1')document.getElementById('beta-bar').style.display='none'}catch(_){},,,,,
index,© 2026 SetAll,,,,,
index,⚖️,,,,,
privacy,"(United States) — crash reporting (Crashlytics), push notifications (FCM), and app distribution",,,,,
privacy,"(United States) — database hosting, authentication, and real-time sync",,,,,
privacy,"(United States) — transactional email delivery (account verification, group invitations)",,,,,
privacy,(United States) — web application hosting and serverless function execution,,,,,
privacy,", or by contacting us.",,,,,
privacy,. We will respond within,,,,,
privacy,. You will receive a confirmation email once deletion is complete.,,,,,
privacy,1. Introduction,,,,,
privacy,10. Contact Us,,,,,
privacy,2. Information We Collect,,,,,
privacy,3. How We Use Your Information,,,,,
privacy,30 days,,,,,
privacy,3a. Lawful Basis for Processing (GDPR),,,,,
privacy,4. How We Share Your Information,,,,,
privacy,4a. International Data Transfers,,,,,
privacy,5. Data Security,,,,,
privacy,6. Data Retention and Deletion,,,,,
privacy,"7. Your Privacy Rights (GDPR, UK GDPR & CCPA)",,,,,
privacy,8. Children's Privacy,,,,,
privacy,9. Changes to this Privacy Policy,,,,,
privacy,9a. Automated Decision-Making,,,,,
privacy,AI chat history:,,,,,
privacy,Account Deletion:,,,,,
privacy,Account Information:,,,,,
privacy,Account and ledger data:,,,,,
privacy,All data is encrypted in transit (TLS/SSL) and at rest on our database servers.,,,,,
privacy,CCPA Rights (California residents):,,,,,
privacy,Consent (Art. 6(1)(a)):,,,,,
privacy,Contact,,,,,
privacy,Crash logs and diagnostics:,,,,,
privacy,Data Processing Agreements:,,,,,
privacy,Deleted immediately upon sign-out or account deletion.,,,,,
privacy,"Depending on your location, you may have the following rights regarding your personal information:",,,,,
privacy,Device & Usage Information:,,,,,
privacy,"Diagnose app crashes, monitor server load, and perform security audits.",,,,,
privacy,Download,,,,,
privacy,Effective Date: March 2026,,,,,
privacy,Encryption:,,,,,
privacy,For Legal Reasons:,,,,,
privacy,Google / Firebase,,,,,
privacy,"Groq, Inc.",,,,,
privacy,Help & Support,,,,,
privacy,Ledger & Transaction Data:,,,,,
privacy,Legal hold:,,,,,
privacy,Legitimate Interests (Art. 6(1)(f)):,,,,,
privacy,Local Device Storage:,,,,,
privacy,Netlify,,,,,
privacy,"Object to or request restriction of certain processing activities, including processing based on legitimate interests.",,,,,
privacy,Performance of a Contract (Art. 6(1)(b)):,,,,,
privacy,Privacy Policy,,,,,
privacy,Privacy Policy | SetAll,,,,,
privacy,Push Notification Tokens:,,,,,
privacy,Push notification tokens:,,,,,
privacy,Request a copy of the personal data we hold about you.,,,,,
privacy,"Request a machine-readable export of your personal data. To exercise this right, email",,,,,
privacy,Request correction of inaccurate or incomplete personal data.,,,,,
privacy,Request deletion of your personal data. You can do this directly in-app via,,,,,
privacy,Resend,,,,,
privacy,"Retained for up to 90 days, then automatically purged.",,,,,
privacy,Right of Access:,,,,,
privacy,Right to Data Portability:,,,,,
privacy,"Right to Erasure (""Right to be Forgotten""):",,,,,
privacy,Right to Object or Restrict Processing:,,,,,
privacy,Right to Rectification:,,,,,
privacy,Right to Withdraw Consent:,,,,,
privacy,Row Level Security (RLS):,,,,,
privacy,"Send you critical transactional emails, such as password resets, login links, and group invitations.",,,,,
privacy,SetAll,,,,,
privacy,"SetAll Fintech Systems | 56 Tbilisi-Kojori st, Tbilisi, Georgia",,,,,
privacy,"SetAll Fintech Systems · 56 Tbilisi-Kojori st, Tbilisi, Georgia · Response time: within 30 days",,,,,
privacy,"SetAll employs industry-standard measures to protect your data, including:",,,,,
privacy,Settings → Delete Account,,,,,
privacy,Shared group data:,,,,,
privacy,Sign In,,,,,
privacy,Standard Contractual Clauses (SCCs):,,,,,
privacy,Supabase,,,,,
privacy,Sync your ledger across your personal devices via our cloud infrastructure.,,,,,
privacy,Terms of Service,,,,,
privacy,"To exercise any of these rights, contact us at",,,,,
privacy,We do,,,,,
privacy,We may disclose your information if required by law or in response to valid requests by public authorities.,,,,,
privacy,We may retain certain data longer if required by applicable law or to resolve disputes.,,,,,
privacy,We only collect the information absolutely necessary to provide the Service to you and your groups. This includes:,,,,,
privacy,We rely on the following safeguards for these transfers:,,,,,
privacy,With Other Users:,,,,,
privacy,With Service Providers:,,,,,
privacy,You may request a copy of the relevant safeguards by contacting us at,,,,,
privacy,contact@setall.app,,,,,
privacy,not,,,,,
