KEY,EN,DE,RU,KA,FR,ES
nav.dashboard,Dashboard,Dashboard,Главная,მთავარი,Tableau de bord,Panel
nav.wallet,Wallet,Geldbörse,Кошелёк,საფულე,Portefeuille,Cartera
nav.groups,Groups,Gruppen,Группы,ჯგუფები,Groupes,Grupos
nav.activity,Activity,Aktivität,Активность,აქტივობა,Activité,Actividad
nav.analytics,Analytics,Analyse,Аналитика,ანალიტიკა,Analyses,Análisis
nav.settings,Settings,Einstellungen,Настройки,პარამეტრები,Paramètres,Ajustes
wallet.title,Wallet,Geldbörse,Кошелёк,საფულე,Portefeuille,Cartera
wallet.income,Income,Einnahmen,Доходы,შემოსავალი,Revenus,Ingresos
wallet.expenses,Expenses,Ausgaben,Расходы,ხარჯები,Dépenses,Gastos
wallet.net,Net,Netto,Итого,სულ,Net,Neto
wallet.no_entries,No wallet entries yet,Keine Einträge in der Geldbörse,Записей в кошельке нет,საფულეში ჩანაწერი არ არის,Aucune entrée dans le portefeuille,Sin entradas en la cartera
wallet.start_tracking,Start Tracking,Tracking starten,Начать учёт,დაიწყეთ აღრიცხვა,Commencer le suivi,Empezar a registrar
groups.title,Groups,Gruppen,Группы,ჯგუფები,Groupes,Grupos
groups.your_groups,Your groups,Deine Gruppen,Ваши группы,თქვენი ჯგუფები,Vos groupes,Tus grupos
groups.no_groups,No groups yet,Noch keine Gruppen,Групп ещё нет,ჯგუფები ჯერ არ არის,Pas encore de groupes,Aún no hay grupos
groups.members,{count} members,{count} Mitglieder,{count} участников,{count} წევრი,{count} membres,{count} miembros
groups.member,1 member,1 Mitglied,1 участник,1 წევრი,1 membre,1 miembro
groups.create,New Group,Neue Gruppe,Новая группа,ახალი ჯგუფი,Nouveau groupe,Nuevo grupo
analytics.title,Analytics,Analyse,Аналитика,ანალიტიკა,Analyses,Análisis
analytics.spending_by_category,Spending by Category,Ausgaben nach Kategorie,Расходы по категориям,ხარჯები კატეგორიის მიხედვით,Dépenses par catégorie,Gastos por categoría
analytics.net_position_trend,Net Position — 30 Days,Nettoposition — 30 Tage,Чистая позиция — 30 дней,წმინდა პოზიცია — 30 დღე,Position nette — 30 jours,Posición neta — 30 días
analytics.no_data,No spending data yet,Noch keine Ausgabendaten,Данных о расходах пока нет,ხარჯების მონაცემები ჯერ არ არის,Pas encore de données de dépenses,Aún no hay datos de gastos
analytics.start_tracking,Start Tracking,Tracking starten,Начать учёт,დაიწყეთ აღრიცხვა,Commencer le suivi,Empezar a registrar
analytics.total,Total,Gesamt,Итого,სულ,Total,Total
analytics.other,Other,Sonstiges,Другое,სხვა,Autres,Otros
analytics.wallet,Wallet,Geldbörse,Кошелёк,საფულე,Portefeuille,Cartera
analytics.groups,Groups,Gruppen,Группы,ჯგუფები,Groupes,Grupos
analytics.filter_all,All,Alle,Все,ყველა,Tout,Todo
analytics.all_groups,All groups,Alle Gruppen,Все группы,ყველა ჯგუფი,Tous les groupes,Todos los grupos
analytics.date_custom,Custom,Benutzerdefiniert,Пользовательский,მორგებული,Personnalisé,Personalizado
analytics.chart_donut,Donut,Donut,Пончик,დონატი,Donut,Dona
analytics.chart_pie,Pie,Kreis,Круговая,ტორტი,Camembert,Tarta
analytics.chart_bar,Bar,Balken,Столбцы,ბარი,Barre,Barra
analytics.currencies,Currencies,Währungen,Валюты,ვალუტები,Devises,Divisas
analytics.today,Today,Heute,Сегодня,დღეს,Aujourd'hui,Hoy
analytics.no_data_hint,Add expenses to see your spending insights.,"Füge Ausgaben hinzu, um Einblicke zu sehen.",Добавьте расходы для просмотра аналитики.,დაამატეთ ხარჯები სტატისტიკის სანახავად.,Ajoutez des dépenses pour voir vos statistiques.,Añade gastos para ver tus estadísticas.
analytics.income_vs_expense,Income vs Expense,Einnahmen vs. Ausgaben,Доходы и расходы,შემოსავალი vs ხარჯი,Revenus vs Dépenses,Ingresos vs Gastos
analytics.income_breakdown,Income by Category,Einnahmen nach Kategorie,Доходы по категориям,შემოსავალი კატეგორიით,Revenus par catégorie,Ingresos por categoría
analytics.balance_sheet,Balance Sheet,Bilanz,Баланс,ბალანსი,Bilan,Balance
analytics.net_flow,Net Flow,Nettofluss,Чистый поток,წმინდა ნაკადი,Flux net,Flujo neto
analytics.burn_rate,Burn Rate,Ausgaberate,Темп трат,ხარჯვის ტემპი,Taux de dépense,Tasa de gasto
analytics.top_category,Top Category,Hauptkategorie,Главная категория,მთავარი კატეგორია,Catégorie principale,Categoría principal
analytics.per_day,per day,pro Tag,в день,დღეში,par jour,por día
analytics.vs_prev_period,vs prev period,vs. Vorperiode,vs прошлый период,წინა პერიოდთან,vs période précédente,vs período anterior
analytics.all_transactions,All Transactions,Alle Transaktionen,Все операции,ყველა ტრანზაქცია,Toutes les transactions,Todas las transacciones
analytics.more_transactions,+{n} more transactions,+{n} weitere Transaktionen,ещё {n} операций,კიდევ {n} ტრანზაქცია,+{n} transactions de plus,+{n} transacciones más
analytics.mode_spending,Spending,Ausgaben,Расходы,ხარჯები,Dépenses,Gastos
analytics.mode_income,Income,Einnahmen,Доходы,შემოსავლები,Revenus,Ingresos
analytics.mode_balance,Balance Sheet,Bilanz,Баланс,ბალანსი,Bilan,Balance
analytics.total_income,Total Income,Gesamteinnahmen,Итого доходов,სულ შემოსავალი,Revenus totaux,Ingresos totales
analytics.total_expenses,Total Expenses,Gesamtausgaben,Итого расходов,სულ ხარჯები,Dépenses totales,Gastos totales
analytics.net_position,Net Position,Nettoposition,Чистая позиция,წმინდა პოზიცია,Position nette,Posición neta
analytics.pct_of_spend,{pct}% of spend,{pct}% der Ausgaben,{pct}% от расходов,{pct}% ხარჯებიდან,{pct}% des dépenses,{pct}% del gasto
analytics.vs_prev_pct,{sign}{pct}% vs prev,{sign}{pct}% ggü. Vorperiode,{sign}{pct}% к пред. периоду,{sign}{pct}% წინა პერ.,{sign}{pct}% vs préc.,{sign}{pct}% vs. anterior
analytics.burn_rate_detail,Burn rate: {currency} {rate} / day,Ausgaberate: {currency} {rate} / Tag,Расход: {currency} {rate} / день,ხარჯის ტემპი: {currency} {rate} / დღე,Taux : {currency} {rate} / jour,Tasa: {currency} {rate} / día
analytics.spending,Spending,Ausgaben,Расходы,ხარჯები,Dépenses,Gastos
analytics.income,Income,Einnahmen,Доходы,შემოსავალი,Revenus,Ingresos
analytics.daily_burn,Daily burn,Tagesbedarf,Дневной расход,დღიური ხარჯი,Dépense journalière,Gasto diario
analytics.more,more,weitere,ещё,მეტი,de plus,más
analytics.open_full_analytics,Open Full Analytics,Vollständige Analyse öffnen,Открыть полную аналитику,სრული ანალიტიკის გახსნა,Ouvrir l'analyse complète,Abrir análisis completo
activity.title,Activity,Aktivität,Активность,აქტივობა,Activité,Actividad
activity.no_activity,No activity yet,Noch keine Aktivität,Активности пока нет,აქტივობა ჯერ არ არის,Pas encore d'activité,Aún no hay actividad
activity.start_tracking,Start Tracking,Tracking starten,Начать учёт,დაიწყეთ აღრიცხვა,Commencer le suivi,Empezar a registrar
activity.all,All,Alle,Все,ყველა,Tout,Todo
